rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,d2d2dd2a-568f-488f-8926-99982e5703aa,0.971205
8aff426d-b8c0-43aa-ad26-835ef4de6129,724a7dd7-d80d-4320-86c7-b8a879bb619d,0.942104
8aff426d-b8c0-43aa-ad26-835ef4de6129,7d4938ac-745b-4ddc-a0bc-e2f8535411b8,0.942104
37e624be-b125-464f-85b6-1838530193ef,a3f38767-02ae-4990-be18-35ca819684a7,0.833333
37e624be-b125-464f-85b6-1838530193ef,56c75e72-50ae-4e29-aea4-f6394e1d986b,0.833333
37e624be-b125-464f-85b6-1838530193ef,4da333cf-6f2a-4b64-9212-2be665c5e1e3,0.781158
b8257184-6307-46ab-b06e-d979336d1263,3d92c9e6-d3f8-4177-900c-04adc55774c1,0.935138
b8257184-6307-46ab-b06e-d979336d1263,985a13af-6aee-4660-83c1-ce5114758d4e,0.916667
b8257184-6307-46ab-b06e-d979336d1263,60206076-d947-48c6-bbba-14d1b9b2f859,0.916667
63140d1f-dda8-40fe-8931-bcaba65d5772,ca60a74b-7cdc-4098-a20c-2de916dcb66b,0.666667
63140d1f-dda8-40fe-8931-bcaba65d5772,df6085e7-42f9-4ce3-92b0-3a7a24159a61,0.666667
63140d1f-dda8-40fe-8931-bcaba65d5772,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.666667
11cffc57-44be-4d79-bfd5-97482be566d3,ca60a74b-7cdc-4098-a20c-2de916dcb66b,0.666667
11cffc57-44be-4d79-bfd5-97482be566d3,df6085e7-42f9-4ce3-92b0-3a7a24159a61,0.666667
11cffc57-44be-4d79-bfd5-97482be566d3,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.666667
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,ca60a74b-7cdc-4098-a20c-2de916dcb66b,0.666667
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,df6085e7-42f9-4ce3-92b0-3a7a24159a61,0.666667
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.666667
973d80a1-f1b8-461b-bb25-7d8852968b1c,8fe87807-dae8-4341-94fd-2ab91f176464,0.888889
973d80a1-f1b8-461b-bb25-7d8852968b1c,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.888889
973d80a1-f1b8-461b-bb25-7d8852968b1c,8ded8ec2-f221-4c6d-aadb-fa8294388127,0.888889
8fe87807-dae8-4341-94fd-2ab91f176464,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.888889
8fe87807-dae8-4341-94fd-2ab91f176464,a0e91fd1-b00b-4ff7-8633-62657662b03b,0.888889
8fe87807-dae8-4341-94fd-2ab91f176464,1982a20f-640e-4caa-b9e7-3ca15d7e1acb,0.888889
c18a7f01-1cb6-4987-a2cc-93251d3719b9,b8257184-6307-46ab-b06e-d979336d1263,0.666667
c18a7f01-1cb6-4987-a2cc-93251d3719b9,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.666667
c18a7f01-1cb6-4987-a2cc-93251d3719b9,8fe87807-dae8-4341-94fd-2ab91f176464,0.666667
0777b4fd-292a-439b-848f-d772ee28c3b8,b8257184-6307-46ab-b06e-d979336d1263,0.666667
0777b4fd-292a-439b-848f-d772ee28c3b8,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.666667
0777b4fd-292a-439b-848f-d772ee28c3b8,8fe87807-dae8-4341-94fd-2ab91f176464,0.666667
a0e91fd1-b00b-4ff7-8633-62657662b03b,973d80a1-f1b8-461b-bb25-7d8852968b1c,0.888889
a0e91fd1-b00b-4ff7-8633-62657662b03b,8fe87807-dae8-4341-94fd-2ab91f176464,0.888889
a0e91fd1-b00b-4ff7-8633-62657662b03b,63078462-b3a8-463c-8c44-301ec9d0d024,0.888889
84be5122-71d5-4a35-a912-fd2911e3c64f,a065713e-1a0f-472f-b7e3-125a8da72465,0.944075
84be5122-71d5-4a35-a912-fd2911e3c64f,dcd64849-e00f-4395-98a4-3d507a711cac,0.944075
84be5122-71d5-4a35-a912-fd2911e3c64f,8421a5b1-860c-4b00-8a7f-270a01c35ad3,0.9418
0f595b0b-2253-4585-a672-fda592da7191,299f38e8-bec3-44e6-8faa-820b7c0f40e9,0.858821
